ra,dec,vmag,colour
83.24801962,-64.22751422,5.34,FFFFFFFF
157.2191543,-64.17228466,5.27,FFFFFFFF
168.1886275,-64.16978296,5.22,FFFFFFFF
44.69902505,-64.07129717,4.98,FFFFFFFF
246.988642,-64.05800515,5.28,FFFFFFFF
226.2002055,-64.03137307,5.16,FFFFFFFF
184.609553,-64.00304555,4.06,FFFFFFFF
171.4315173,-63.97231572,5.18,FFFFFFFF
161.0289048,-63.9611007,4.80,FFFFFFFF
317.1362708,-63.92827112,5.75,FFFFFFFF
223.1469595,-63.80981741,5.91,FFFFFFFF
177.4212002,-63.78848906,4.30,FFFFFFFF
41.36438582,-63.70453152,5.73,FFFFFFFF
209.4122368,-63.68661603,4.71,FFFFFFFF
243.8594423,-63.68564897,3.86,FFFFFFFF
272.1449619,-63.66804844,4.33,FFFFFFFF
229.4120326,-63.61048662,4.85,FFFFFFFF
120.0832051,-63.56750271,4.81,FFFFFFFF
187.9839704,-63.50589876,5.96,FFFFFFFF
238.7867001,-63.42974973,2.83,FFFFFFFF
76.89171306,-63.39957018,5.19,FFFFFFFF
65.47173239,-63.38681514,5.24,FFFFFFFF
180.7570797,-63.31294495,4.32,FFFFFFFF
178.750095,-63.27917897,5.89,FFFFFFFF
253.8528269,-63.26962566,5.99,FFFFFFFF
64.41777199,-63.25549171,5.88,FFFFFFFF
181.0801573,-63.16571094,4.72,FFFFFFFF
352.2538755,-63.11062274,5.66,FFFFFFFF
186.6497559,-63.09905586,0.77,FFFFFFFF
88.52458376,-63.09102096,4.65,FFFFFFFF
190.7095115,-63.058616,5.27,FFFFFFFF
273.9194296,-63.05530804,5.58,FFFFFFFF
8.18247614,-63.03137868,5.07,FFFFFFFF
173.9455345,-63.01982488,3.11,FFFFFFFF
7.88898014,-62.96544985,4.53,FFFFFFFF
7.88566992,-62.95808549,4.36,FFFFFFFF
359.3324172,-62.95661191,5.95,FFFFFFFF
183.0916103,-62.95077296,5.91,FFFFFFFF
52.34244352,-62.93843436,4.71,FFFFFFFF
123.8164749,-62.91561677,5.16,FFFFFFFF
221.3218614,-62.87545275,5.36,FFFFFFFF
13.40741156,-62.87135327,5.73,FFFFFFFF
261.0044843,-62.86413165,5.69,FFFFFFFF
129.3285274,-62.85341217,5.45,FFFFFFFF
68.39208243,-62.82363051,5.79,FFFFFFFF
42.2556956,-62.80659207,5.25,FFFFFFFF
224.1833431,-62.78098762,5.08,FFFFFFFF
147.7316587,-62.74513696,5.56,FFFFFFFF
177.6136868,-62.6493833,5.68,FFFFFFFF
49.43528798,-62.57689893,5.53,FFFFFFFF
66.94184598,-62.52121428,5.74,FFFFFFFF
49.54640411,-62.50793537,5.24,FFFFFFFF
146.3117815,-62.50792328,3.69,FFFFFFFF
83.40631813,-62.48985585,3.76,FFFFFFFF
175.8799992,-62.48939856,5.00,FFFFFFFF
63.60596306,-62.47397888,3.33,FFFFFFFF
179.4168255,-62.44873578,5.59,FFFFFFFF
312.9100131,-62.42921513,5.67,FFFFFFFF
166.6353096,-62.42413654,4.62,FFFFFFFF
140.236793,-62.40463293,4.79,FFFFFFFF
137.8198661,-62.31701587,3.96,FFFFFFFF
277.8434439,-62.27819116,4.63,FFFFFFFF
142.1966099,-62.2732034,5.91,FFFFFFFF
63.7022883,-62.19204942,5.45,FFFFFFFF
283.0543189,-62.18756062,4.22,FFFFFFFF
60.2241876,-62.15936923,4.48,FFFFFFFF
91.76401174,-62.15441128,5.04,FFFFFFFF
175.2235527,-62.09010401,4.93,FFFFFFFF
69.1903235,-62.07698129,5.59,FFFFFFFF
272.6094145,-62.00276787,5.47,FFFFFFFF
349.2394514,-62.00113447,5.64,FFFFFFFF
338.2500526,-61.982073,4.91,FFFFFFFF
141.3640736,-61.95061204,5.77,FFFFFFFF
167.1416901,-61.94717969,5.11,FFFFFFFF
102.0480713,-61.94197988,3.24,FFFFFFFF
328.7972463,-61.88638824,5.92,FFFFFFFF
163.6233225,-61.82661289,5.95,FFFFFFFF
174.5307163,-61.82655484,5.15,FFFFFFFF
16.82738598,-61.77526197,5.36,FFFFFFFF
158.0061825,-61.68536031,3.30,FFFFFFFF
204.3008372,-61.69157197,5.63,FFFFFFFF
141.0228991,-61.64878694,5.99,FFFFFFFF
247.7057228,-61.63348127,5.19,FFFFFFFF
29.69113269,-61.56992444,2.86,FFFFFFFF
309.3968323,-61.52974415,4.86,FFFFFFFF
275.8067524,-61.49390506,4.35,FFFFFFFF
59.68640623,-61.40015059,4.56,FFFFFFFF
154.2708554,-61.33231977,3.39,FFFFFFFF
144.8376706,-61.32810523,4.51,FFFFFFFF
174.2533403,-61.28344643,5.14,FFFFFFFF
122.2535766,-61.3017058,4.74,FFFFFFFF
214.9654324,-61.27275714,5.22,FFFFFFFF
66.27233379,-61.23824628,5.94,FFFFFFFF
176.6285375,-61.17835907,4.11,FFFFFFFF
171.6476436,-61.1151713,5.22,FFFFFFFF
60.32529605,-61.07905148,4.97,FFFFFFFF
174.0932539,-61.05243721,5.84,FFFFFFFF
