object_id,object_category,object_type,dec,ra,proper_names,bayer_designation,flamsteed_designation,hipparcos_number,hd_number,messier_number,caldwell_number,ngc_number,ic_number,constellations_abbreviations,mag,bv,distance,colour
26686,Star,Unknown,-52.03762549,84.65458605,,,,26532,,,,,,Pic,8.83,1.019,,
26687,Star,Unknown,-41.2996713,84.65607683,,,,26533,,,,,,Col,9.54,0.738,,
26688,Star,Unknown,-16.91928871,84.65777823,,,,26534,,,,,,Lep,7.59,0.607,,
26689,Star,Unknown,-6.5739587,84.65822074,,,,26535,,,,,,Ori,5.96,-0.216,,
26690,Star,Unknown,30.49241235,84.65868856,,,26 Aur,26536,,,,,,Aur,5.4,0.45,,
26691,Star,Unknown,39.94028853,84.65977978,,,,26537,,,,,,Aur,8.79,1.503,,
26692,Star,Unknown,32.67570677,84.66088536,,,,26538,,,,,,Aur,7.98,0.94,,
26693,Star,Unknown,20.03505368,84.66172817,,,,26539,,,,,,Tau,9.34,0.653,,
26694,Star,Unknown,-58.26987026,84.66388107,,,,26540,,,,,,Pic,8.48,0.869,,
26695,Star,Unknown,-8.47101562,84.6654984,,,,26541,,,,,,Ori,7.1,-0.071,,
26696,Star,Unknown,-38.35748126,84.66866148,,,,26542,,,,,,Col,9.55,1.043,,
26697,Star,Unknown,-12.94256739,84.6691721,,,,26543,,,,,,Lep,7.9,0.18,,
26698,Star,Unknown,32.47499439,84.67368395,,,,26544,,,,,,Aur,7.94,0.47,,
26699,Star,Unknown,-40.70730651,84.68135383,,,,26545,,,,,,Col,5.81,-0.078,,
26700,Star,Unknown,41.83922134,84.68280061,,,,26546,,,,,,Aur,6.59,1.442,,
26701,Star,Unknown,-20.11469476,84.68296704,,,,26547,,,,,,Lep,8.41,0.006,,
26702,Star,Unknown,70.36445767,84.68519572,,,,26548,,,,,,Cam,6.97,-0.045,,
26703,Star,Unknown,-2.60006888,84.68653333,,sig Ori,48 Ori,26549,,,,,,Ori,3.77,-0.19,,
26704,Star,Unknown,30.22395645,84.68695718,,,,26550,,,,,,Aur,9.32,0.43,,
26705,Star,Unknown,-2.5996927,84.69011217,,,,26551,,,,,,Ori,6.81,-0.18,,
26706,Star,Unknown,-17.07075928,84.69269807,,,,26552,,,,,,Lep,7.98,-0.036,,
26707,Star,Unknown,-52.4888524,84.69504515,,,,26553,,,,,,Pic,8.71,0.602,,
26708,Star,Unknown,36.15095465,84.69608417,,,,26554,,,,,,Aur,12.17,,,
26709,Star,Unknown,8.03831352,84.69924233,,,,26555,,,,,,Ori,8.57,0.235,,
26710,Star,Unknown,55.74796895,84.70217301,,,,26556,,,,,,Aur,7.89,0.483,,
26711,Star,Unknown,36.15444675,84.7053525,,,,26557,,,,,,Aur,9.76,0.542,,
26712,Star,Unknown,-4.27178135,84.70915711,,,,26558,,,,,,Ori,9.2,0.009,,
26713,Star,Unknown,-13.54853605,84.71308973,,,,26559,,,,,,Lep,8.4,0.244,,
26714,Star,Unknown,35.07810808,84.71892357,,,,26560,,,,,,Aur,8.1,0.376,,
26715,Star,Unknown,2.86177385,84.71930348,,,,26561,,,,,,Ori,7.9,-0.081,,
26716,Star,Unknown,-7.21282887,84.72117914,,d Ori,49 Ori,26563,,,,,,Ori,4.77,0.139,,
26717,Star,Unknown,-37.758747,84.72138623,,,,26562,,,,,,Col,8.31,1.432,,
26718,Star,Unknown,-51.63799585,84.72404166,,,,26564,,,,,,Pic,9.25,0.323,,
26719,Star,Unknown,-12.77602837,84.72445792,,,,26565,,,,,,Lep,9.07,0.006,,
26720,Star,Unknown,26.31578385,84.72738321,,,,26566,,,,,,Tau,9.2,0.512,,
26721,Star,Unknown,-71.63891792,84.73079204,,,,26567,,,,,,Men,9.61,0.109,,
26722,Star,Unknown,20.03054267,84.73220197,,,,26568,,,,,,Tau,9.3,0.597,,
26723,Star,Unknown,49.41620941,84.73649526,,,,26569,,,,,,Aur,6.85,0.979,,
26724,Star,Unknown,31.37845625,84.73864358,,,,26570,,,,,,Aur,8.99,1.511,,
26725,Star,Unknown,26.61806858,84.73905123,,,,26571,,,,,,Tau,6.45,0.98,,
26726,Star,Unknown,53.56959896,84.73958949,,,,26572,,,,,,Aur,8.83,0.418,,
26727,Star,Unknown,5.46385483,84.73984097,,,,26573,,,,,,Ori,9.79,0.377,,
26728,Star,Unknown,28.46013294,84.74172946,,,,26574,,,,,,Tau,8.39,0.35,,
26729,Star,Unknown,4.13865998,84.74908314,,,,26575,,,,,,Ori,8.16,1.66,,
26730,Star,Unknown,-8.79539995,84.75275096,,,,26576,,,,,,Ori,9.92,0.48,,
26731,Star,Unknown,-6.49733377,84.75390288,,,,26577,,,,,,Ori,8.67,0.148,,
26732,Star,Unknown,-48.22176627,84.75416191,,,,26578,,,,,,Pic,9.49,0.137,,
26733,Star,Unknown,-2.64899041,84.75621564,,,,26579,,,,,,Ori,8.07,-0.08,,
26734,Star,Unknown,45.44781719,84.75735768,,,,26580,,,,,,Aur,8.07,0.809,,
26735,Star,Unknown,-5.19446603,84.76000195,,,,26581,,,,,,Ori,7.6,-0.12,,
26736,Star,Unknown,-11.0317089,84.76385755,,,,26582,,,,,,Lep,9.21,0.48,,
26737,Star,Unknown,5.26404252,84.76406895,,,,26583,,,,,,Ori,10.58,0.414,,
26738,Star,Unknown,-43.73877595,84.76779423,,,,26584,,,,,,Pic,8.71,1.191,,
26739,Star,Unknown,37.97664316,84.7678048,,,,26585,,,,,,Aur,7.51,0.043,,
26740,Star,Unknown,-44.11060717,84.76881774,,,,26586,,,,,,Pic,10.7,0.5,,
26741,Star,Unknown,56.36003958,84.7725164,,,22 Cam,26587,,,,,,Cam,7.03,0.411,,
26742,Star,Unknown,-5.89753839,84.77304824,,,,26588,,,,,,Ori,8.3,0.438,,
26743,Star,Unknown,-58.95745106,84.77914639,,,,26589,,,,,,Pic,7.22,1.038,,
26744,Star,Unknown,14.55675937,84.78138042,,,,26590,,,,,,Ori,7.54,0.031,,
26745,Star,Unknown,-17.83126832,84.78361288,,,,26591,,,,,,Lep,8.2,0.447,,
26746,Star,Unknown,41.35856252,84.78623595,,,,26592,,,,,,Aur,6.44,1,,
26747,Star,Unknown,-24.88076629,84.79636815,,,,26593,,,,,,Lep,7.51,1.416,,
26748,Star,Unknown,4.12146684,84.79644308,,ome Ori,47 Ori,26594,,,,,,Ori,4.5,-0.098,,
26749,Star,Unknown,-40.15305385,84.79746173,,,,26595,,,,,,Col,9.46,0.781,,
26750,Star,Unknown,9.92055409,84.79748092,,,,26596,,,,,,Ori,10.09,0.532,,
26751,Star,Unknown,-41.75381523,84.79799366,,,,26597,,,,,,Col,8.56,1.062,,
26752,Star,Unknown,67.22709053,84.79930214,,,,26598,,,,,,Cam,8.84,0.813,,
26753,Star,Unknown,23.32336002,84.81177818,,,,26599,,,,,,Tau,7.52,1.924,,
26754,Star,Unknown,-29.70988311,84.81254249,,,,26600,,,,,,Col,8.19,0.435,,
26755,Star,Unknown,30.15055824,84.81313615,,,,26601,,,,,,Aur,7.67,0.114,,
26756,Star,Unknown,-17.84940834,84.81759927,,,,26602,,,,,,Lep,6.4,-0.095,,
26757,Star,Unknown,-25.50688438,84.81979198,,,,26603,,,,,,Lep,8.94,0.38,,
26758,Star,Unknown,-17.82860062,84.82075522,,,,26605,,,,,,Lep,7.77,1.504,,
26759,Star,Unknown,10.25985366,84.82163228,,,,26604,,,,,,Ori,8.25,0.694,,
26760,Star,Unknown,29.21521266,84.82630008,,,,26606,,,,,,Aur,5.98,0.144,,
26761,Star,Unknown,43.70930796,84.84393764,,,,26607,,,,,,Aur,8.19,0.521,,
26762,Star,Unknown,-25.53485103,84.84699897,,,,26608,,,,,,Lep,8.43,0.389,,
26763,Star,Unknown,11.83492148,84.84951935,,,,26609,,,,,,Ori,8.82,0.477,,
