object_id,object_category,object_type,dec,ra,proper_names,bayer_designation,flamsteed_designation,hipparcos_number,hd_number,messier_number,caldwell_number,ngc_number,ic_number,constellations_abbreviations,mag,bv,distance,colour,object_type2
100,Deepsky,Galaxy,15.81666667,185.725,,,,,,100,,4321,,Com,9.3,,60000000,6BEEFFFF,Spiral Galaxy
101,Deepsky,Galaxy,54.35,210.8,Pinwheel Galaxy,,,,,101,,5457,,UMa,7.9,,27000000,6BEEFFFF,Spiral Galaxy
102,Deepsky,Galaxy,55.76666667,226.625,Spindle Galaxy,,,,,102,,5866,,Dra,9.9,,40000000,6BEEFFFF,Lenticular (S0) Galaxy
103,Deepsky,Galaxy,60.7,23.3,,,,,,103,,581,,Cas,7.4,,8000,6BEEFFFF,Open Cluster
104,Deepsky,Galaxy,-11.61666667,190,Sombrero Galaxy,,,,,104,,4594,,Vir,8,,50000000,6BEEFFFF,Spiral Galaxy
105,Deepsky,Galaxy,12.58333333,161.95,,,,,,105,,3379,,Leo,9.3,,38000000,6BEEFFFF,Elliptical Galaxy
106,Deepsky,Galaxy,47.3,184.75,,,,,,106,,4258,,CVn,8.4,,25000000,6BEEFFFF,Spiral Galaxy
107,Deepsky,Galaxy,-13.05,248.125,,,,,,107,,6171,,Oph,7.9,,19600,6BEEFFFF,Globular Cluster
108,Deepsky,Galaxy,55.66666667,167.875,,,,,,108,,3556,,UMa,10,,45000000,6BEEFFFF,Spiral Galaxy
109,Deepsky,Galaxy,53.38333333,179.4,,,,,,109,,3992,,UMa,9.8,,55000000,6BEEFFFF,Spiral Galaxy
110,Deepsky,Galaxy,41.68333333,10.1,Satellite of M31,,,,,110,,205,,And,8.5,,2900000,6BEEFFFF,Elliptical Galaxy
