object_id,hip_id,ra,dec,vmag,bv,name,bayer,flamsteed,constellations
0,396,1.22461408,-31.9966533,7.83,1.256,,,,
0,397,1.2253533,52.24893308,8.72,0.082,,,,
0,398,1.22906908,58.53216653,6.61,0.025,,,,
0,399,1.23333543,26.64876429,6.25,1.368,,,,
0,400,1.23467112,23.26962928,7.82,0.755,,,,
0,401,1.23421016,56.05694999,8.66,1.614,,,,
0,402,1.23489442,64.78141996,8.15,0.475,,,,
0,403,1.23716672,-18.17872587,8.97,0.674,,,,
0,405,1.23951143,51.18064349,8.15,1.201,,,,
0,404,1.23967704,45.6737933,7.47,0.55,,,,
0,406,1.24398732,26.72526209,8.63,1.57,,,,
0,407,1.24465022,-70.21244495,8.13,0.71,,,,
0,408,1.24513182,57.46873836,8.23,0.986,,,,
0,409,1.24608465,-70.49248271,8.41,0.461,,,,
0,410,1.25495522,27.67478382,6.47,0.946,,,,
0,411,1.25663693,33.36000957,9.83,1.54,,,,
0,412,1.25782329,66.51678982,8.64,1.3,,,,
0,413,1.26097293,-36.01512081,7.73,0.537,,,,
0,414,1.26224009,-59.82812125,8.64,0.889,,,,
0,415,1.26382238,9.27996066,8.94,0.415,,,,
0,416,1.26466594,1.03770977,8.84,0.759,,,,
0,417,1.26592816,-0.50303549,6.32,1.099,,,,
0,418,1.27562467,61.31397012,5.8,-0.067,,,,
0,419,1.2784888,-42.56786797,8.97,0.86,,,,
0,420,1.28122987,-52.15174115,7.53,0.577,,,,
0,422,1.2868045,67.84000354,7.41,1.288,,,,
0,423,1.28846197,30.32903167,7.8,0.437,,,,
0,425,1.29080893,-62.8452202,8.14,0.593,,,,
0,424,1.29065918,45.2290293,6.71,0.068,,,,
0,427,1.29159129,-43.85083063,8.73,1.124,,,,
0,426,1.291614,30.33121677,9.37,0.51,,,,
0,429,1.2924287,2.39720817,8.69,0.644,,,,
0,428,1.29536772,45.78656701,9.95,1.472,,,,
0,430,1.29276331,-32.46867187,7.1,1.128,,,,
0,431,1.3020762,36.30367105,8.09,0.496,,,,
0,432,1.30418762,35.57101204,6.88,0.174,,,,
